公告,#genre#
直播源均来自网络，不得商用，仅供学习交流使用。,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
更新日期,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
2025-06-22,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
央视频道,#genre#
CCTV9,http://218.1.187.97:8888/rtp/239.45.3.4:5140
CCTV9,http://180.165.8.189:8888/rtp/239.45.3.4:5140
CCTV10,http://222.64.219.142:8888/rtp/239.45.3.8:5140
CCTV10,http://222.64.207.240:8899/rtp/239.45.3.8:5140
CCTV10,http://218.1.137.127:4022/rtp/239.45.3.8:5140
CCTV10,http://180.154.59.175:4022/rtp/239.45.3.8:5140
CCTV10,http://101.229.185.36:4022/rtp/239.45.3.8:5140
CCTV10,http://116.235.57.70:4022/rtp/239.45.3.8:5140
CCTV10,http://218.80.118.249:8880/rtp/239.45.3.8:5140
CCTV10,http://218.1.187.97:8888/rtp/239.45.3.8:5140
CCTV10,http://180.165.8.189:8888/rtp/239.45.3.8:5140
CCTV11,http://222.64.219.142:8888/rtp/239.45.0.18:5140
CCTV11,http://222.64.207.240:8899/rtp/239.45.0.18:5140
CCTV11,http://218.1.137.127:4022/rtp/239.45.0.18:5140
CCTV11,http://180.154.59.175:4022/rtp/239.45.0.18:5140
CCTV11,http://101.229.185.36:4022/rtp/239.45.0.18:5140
CCTV11,http://116.235.57.70:4022/rtp/239.45.0.18:5140
CCTV11,http://218.80.118.249:8880/rtp/239.45.0.18:5140
CCTV11,http://218.1.187.97:8888/rtp/239.45.0.18:5140
CCTV11,http://180.165.8.189:8888/rtp/239.45.0.18:5140
CCTV12,http://222.64.219.142:8888/rtp/239.45.3.10:5140
CCTV12,http://222.64.207.240:8899/rtp/239.45.3.10:5140
CCTV12,http://218.1.137.127:4022/rtp/239.45.3.10:5140
CCTV12,http://180.154.59.175:4022/rtp/239.45.3.10:5140
CCTV12,http://101.229.185.36:4022/rtp/239.45.3.10:5140
CCTV12,http://116.235.57.70:4022/rtp/239.45.3.10:5140
CCTV12,http://218.80.118.249:8880/rtp/239.45.3.10:5140
CCTV12,http://218.1.187.97:8888/rtp/239.45.3.10:5140
CCTV12,http://180.165.8.189:8888/rtp/239.45.3.10:5140
CCTV13,http://222.64.219.142:8888/rtp/239.45.0.19:5140
CCTV13,http://222.64.207.240:8899/rtp/239.45.0.19:5140
CCTV13,http://218.1.137.127:4022/rtp/239.45.0.19:5140
CCTV13,http://180.154.59.175:4022/rtp/239.45.0.19:5140
CCTV13,http://101.229.185.36:4022/rtp/239.45.0.19:5140
CCTV13,http://116.235.57.70:4022/rtp/239.45.0.19:5140
CCTV13,http://218.80.118.249:8880/rtp/239.45.0.19:5140
CCTV13,http://218.1.187.97:8888/rtp/239.45.0.19:5140
CCTV13,http://180.165.8.189:8888/rtp/239.45.0.19:5140
CCTV14,http://222.64.219.142:8888/rtp/239.45.3.23:5140
CCTV14,http://222.64.207.240:8899/rtp/239.45.3.23:5140
CCTV14,http://218.1.137.127:4022/rtp/239.45.3.23:5140
CCTV14,http://180.154.59.175:4022/rtp/239.45.3.23:5140
CCTV14,http://101.229.185.36:4022/rtp/239.45.3.23:5140
CCTV14,http://116.235.57.70:4022/rtp/239.45.3.23:5140
CCTV14,http://218.80.118.249:8880/rtp/239.45.3.23:5140
CCTV14,http://218.1.187.97:8888/rtp/239.45.3.23:5140
